ticket_id,text_snippet,topic,urgency,next_action,is_complete,clarification_question,notes
12224,"Medical Data Encryption Assistance Required: The encryption process for medical data has failed, leading to the exposure of patient information becaus",Technical / Online Access,High,Forward to technical support team,True,,The ticket will be forwarded to the technical support team for further assistance.
3196,Subject: Assistance Needed with Incorrect Invoice Totals: I am encountering problems with incorrect invoice totals due to a billing system glitch. Des,Billing / Payment,Medium,Forward to billing team,True,,The ticket will be forwarded to the billing team for further assistance.
6009,Details on Xero Integration for Project Management: Could you provide detailed information on the Xero integration for project management SaaS? Your s,Other,Low,Send standard FAQ or self-service link,True,,The next step is to provide the customer with the relevant FAQ or self-service link regarding the Xero integration for project management.
538,"Problem with Mesh Network Connection: Facing connectivity challenges with the Mesh Network, which is impacting digital marketing efforts. The issue mi",Technical / Online Access,Medium,Forward to technical support team,True,,The ticket will be forwarded to the technical support team for resolution.
5263,Project Support: Implement database optimization to enhance performance and decrease latency in the project management platform for better efficiency ,Technical / Online Access,Medium,Forward to technical support team,True,,The ticket is ready to be forwarded to the appropriate team for further handling.
13770,"System Outage Impacting Data Analytics Operations: Dear Customer Support, we are currently facing a system outage that has disrupted our data analytic",Technical / Online Access,High,Forward to technical support team,True,,The ticket will be forwarded to the technical support team for further assistance.
4684,"Medical Data Breach Due to Firewall Issues: An unexpected medical data breach happened due to inadequate firewall rules, and unauthorized access was d",Technical / Online Access,High,Forward to technical support team,True,,The ticket will be forwarded to the technical support team for further assistance.
14077,Support for Employee Turnover Concerns: We are facing significant employee turnover issues due to insufficient onboarding and limited career advanceme,Other,Medium,Request more information from customer,False,Can you specify what type of assistance you are looking for regarding employee turnover?,"If you need further assistance or want to proceed with the next steps, please let me know!"
10503,Data Breach Concern in Apache Hadoop Environment: Greetings Customer Support. I am reaching out to inform you about a data breach that may be related ,Technical / Online Access,High,Forward to technical support team,True,,This ticket will be forwarded to the technical support team for prompt assistance.
8272,"Problem with Website: Facing irregular website performance on Squarespace. It could be due to recent plugin updates. I have cleared the cache, updated",Technical / Online Access,Medium,Forward to technical support team,True,,The ticket is now set to be forwarded to the technical support team for assistance with the website performance issue.
